algo,a2c,a2c,a2c,dqn,dqn,dqn,ppo,ppo,ppo,reinforce,reinforce,reinforce,sarsa,sarsa,sarsa
regime,rulebook,safe,unconstrained,rulebook,safe,unconstrained,rulebook,safe,unconstrained,rulebook,safe,unconstrained,rulebook,safe,unconstrained
feature,,,,,,,,,,,,,,,
s_7,0.0036451981322829,0.038481731180301,0.0306101386050905,0.3137221199800367,0.3055888351014195,0.3416057439261994,0.0216364030754718,0.0301646044474473,0.0366526761552213,0.0135048212579997,0.0413228686290771,0.0214376392843739,0.1118361754800214,0.1356173860514665,0.4229426712749674
s_6,0.0329860378713944,0.0076668839253424,0.0463379898287604,0.2441178062714175,0.2788206336874929,0.3641076100961083,0.1062977943249366,0.020130325904177,0.0165203539521663,0.0052550056506958,0.0122167579038793,0.0024728594171684,0.0629075014335633,0.0257227607212511,0.3150678690024904
s_0,0.0485533660480382,0.0275580133179544,0.0275687982614861,0.3516285794629673,0.2027128649269695,0.2315426070162296,0.0769894411927268,0.0164758671722604,0.0191970307750459,0.0177110000819755,0.0185758385728018,0.0347217218124675,0.0705337972984626,0.0313479383408099,0.3416333735989908
s_1,0.0259852294881453,0.0260417468183409,0.0216838773732438,0.3010329288287983,0.1983056382395553,0.2154573595426545,0.0076904828167155,0.0068082724993725,0.0064381975273765,0.0890485038074283,0.0086284738301541,0.0150138601224589,0.0291401616948583,0.03699952529463,0.3336092873683512
s_16,0.0191078289482251,0.0203343825282993,0.0263250156393065,0.1228425814977907,0.2841380797248823,0.2277685016474432,0.0117587930366254,0.0775396410122063,0.0259800608597345,0.020243008930666,0.0046672517661073,0.0114040050518124,0.1231999959479741,0.0134897532141106,0.2845399003250092
s_5,0.0551174060939566,0.0210258722158619,0.0545431394008639,0.2872386009542744,0.2207906057594138,0.2322599081844346,0.0003198028788789,0.0204459107550467,0.0127473140674737,0.0017212985091369,0.0059540059117289,0.0035343851226156,0.0260328404141324,0.0446556044318313,0.2819829590630005
s_12,0.0124035301349046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127538704821347,0.0252816252791915,0.0023830234500909,0.0,0.0,0.8338334729478217
s_2,0.0571829355537517,0.0143283886085373,0.0002759070986506,0.1235475066378335,0.2278821232882678,0.0630821140006808,0.0102773124044177,0.073840851768768,0.0016182364277636,0.0702179467150463,0.0641672395468024,0.0001880494894492,0.0043613398605606,0.0216205544710733,0.0769103878926265
s_11,0.0104352104142493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146548189510682,0.0,0.0202883023578753,0.0,0.0,0.7201876514583904
s_17,0.0082797361682759,0.0,0.0,0.2200778933961471,0.0,0.0,0.0,0.0,0.0,0.0002247726537115,0.0150731468932051,0.0223238464398968,0.0,0.0,0.3827952737550488
s_10,0.0024035821396353,0.0048127396739612,0.0064830369894494,0.0587222607863159,0.0142665418884864,0.0595797163404506,0.0068911418268148,0.0033862603382232,0.0109748295992768,0.0009975857232671,0.0003839578552302,0.000781037574513,0.0147467156170119,0.0037549573509653,0.0429653007018382
s_8,0.0030695648448057,0.0056914783315839,0.0064858904675108,0.0646177340114603,0.0173037616113527,0.0438315599018567,0.0025364148505592,0.0036667480748835,0.0110926011460122,0.0020649530840591,0.0010729651183216,0.0020515129484727,0.0149094717451553,0.0037502846492284,0.0470524409907689
s_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0435442858667856,0.0454109870647553,0.0113437160271849,0.0,0.0,0.0
s_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334343836826163,0.0159967380695597,0.0061440690742805,0.0,0.0,0.0
s_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040906159190231,0.0048558780940962,0.0144882329477687,0.0,0.0,0.0
