feature,mean,std,min,max,count
s_7,0.12458460083875841,0.14465791073388454,0.0036451981322829,0.4229426712749674,15
s_6,0.1027085459993896,0.12845630645232078,0.0024728594171684,0.3641076100961083,15
s_0,0.10111668252527908,0.11951033053123052,0.0164758671722604,0.3516285794629673,15
s_1,0.08812556968347222,0.11451431555948853,0.0064381975273765,0.3336092873683512,15
s_16,0.08488925334201286,0.10169719451840081,0.0046672517661073,0.2845399003250092,15
s_5,0.08455797691751,0.10929028378106759,0.0003198028788789,0.2872386009542744,15
s_12,0.0591103681529429,0.21444764169675257,0.0,0.8338334729478217,15
s_2,0.05396672625094862,0.06092921896875327,0.0001880494894492,0.2278821232882678,15
s_11,0.051037732212105544,0.1852281940550003,0.0,0.7201876514583904,15
s_17,0.043251644620419014,0.1094466888379327,0.0,0.3827952737550488,15
s_10,0.015409977627029286,0.020648893953607497,0.0003839578552302,0.0595797163404506,15
s_8,0.0152798254517354,0.019965507253069108,0.0010729651183216,0.0646177340114603,15
s_15,0.0066865992639150535,0.015621147125900217,0.0,0.0454109870647553,15
s_14,0.003705012721763767,0.009279764609335887,0.0,0.0334343836826163,15
s_13,0.0015623151307258666,0.0039061229965189114,0.0,0.0144882329477687,15
s_3,0.0,0.0,0.0,0.0,15
s_4,0.0,0.0,0.0,0.0,15
s_9,0.0,0.0,0.0,0.0,15
