algo,feature,mean_abs_shap
a2c,s_5,0.043562139236894136
a2c,s_0,0.03456005920915956
a2c,s_6,0.028996970541832395
a2c,s_1,0.02457028455991
a2c,s_7,0.024245689305891466
a2c,s_2,0.023929077086979864
a2c,s_16,0.0219224090386103
a2c,s_8,0.005082311214633466
a2c,s_10,0.004566452934348633
a2c,s_12,0.0041345100449682
a2c,s_11,0.0034784034714164334
a2c,s_17,0.0027599120560919664
a2c,s_13,0.0
a2c,s_14,0.0
a2c,s_15,0.0
a2c,s_3,0.0
a2c,s_4,0.0
a2c,s_9,0.0
dqn,s_7,0.3203055663358852
dqn,s_6,0.2956820166850062
dqn,s_0,0.2619613504687221
dqn,s_5,0.24676303829937427
dqn,s_1,0.23826530887033603
dqn,s_16,0.21158305429003874
dqn,s_2,0.13817058130892737
dqn,s_17,0.07335929779871571
dqn,s_10,0.04418950633841764
dqn,s_8,0.0419176851748899
dqn,s_11,0.0
dqn,s_12,0.0
dqn,s_13,0.0
dqn,s_14,0.0
dqn,s_15,0.0
dqn,s_3,0.0
dqn,s_4,0.0
dqn,s_9,0.0
ppo,s_6,0.047649491393759964
ppo,s_16,0.038426164969522066
ppo,s_0,0.037554113046677697
ppo,s_7,0.029484561226046802
ppo,s_2,0.028578800200316435
ppo,s_5,0.011171009233799767
ppo,s_10,0.007084077254771601
ppo,s_1,0.0069789842811548335
ppo,s_8,0.005765254690484966
ppo,s_11,0.0
ppo,s_12,0.0
ppo,s_13,0.0
ppo,s_14,0.0
ppo,s_15,0.0
ppo,s_17,0.0
ppo,s_3,0.0
ppo,s_4,0.0
ppo,s_9,0.0
reinforce,s_2,0.04485774525043263
reinforce,s_1,0.03756361258668044
reinforce,s_15,0.03343299631957527
reinforce,s_7,0.02542177639048357
reinforce,s_0,0.023669520155748264
reinforce,s_14,0.018525063608818833
reinforce,s_12,0.013472839737139032
reinforce,s_17,0.012540588662271132
reinforce,s_16,0.012104755249528566
reinforce,s_11,0.011647707102981167
reinforce,s_13,0.007811575653629333
reinforce,s_6,0.006648207657247833
reinforce,s_5,0.003736563181160467
reinforce,s_8,0.0017298103836177999
reinforce,s_10,0.0007208603843367667
reinforce,s_3,0.0
reinforce,s_4,0.0
reinforce,s_9,0.0
sarsa,s_12,0.27794449098260726
sarsa,s_11,0.24006255048613012
sarsa,s_7,0.22346541093548508
sarsa,s_0,0.14783836974608777
sarsa,s_16,0.14040988316236463
sarsa,s_6,0.1345660437191016
sarsa,s_1,0.13324965811927983
sarsa,s_17,0.12759842458501627
sarsa,s_5,0.1175571346363214
sarsa,s_2,0.0342974274080868
sarsa,s_8,0.02190406579505087
sarsa,s_10,0.0204889912232718
sarsa,s_13,0.0
sarsa,s_14,0.0
sarsa,s_15,0.0
sarsa,s_3,0.0
sarsa,s_4,0.0
sarsa,s_9,0.0
